row_id,case_id,blind_variant_id,answerability,question,human_quality,judge_quality,human_pass,judge_pass,human_scores,judge_scores,human_flags,judge_flags,judge_rationale,needs_audit,audit_reason,secondary_review_status,secondary_reviewer_notes
c-msvc-sal-annotations-001::variant-015380ad,c-msvc-sal-annotations-001,variant-015380ad,unanswerable,How do Microsoft SAL annotations _In_reads_ and _Out_writes_ affect MSVC static analysis of a C function?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,No frozen evidence was provided. The candidate answer appropriately abstains without making technical claims.,no,,pending,
c-msvc-sal-annotations-001::variant-20c2ee7c,c-msvc-sal-annotations-001,variant-20c2ee7c,unanswerable,How do Microsoft SAL annotations _In_reads_ and _Out_writes_ affect MSVC static analysis of a C function?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,No frozen evidence was provided. The candidate answer appropriately abstains without making technical claims.,yes,deterministic-agreement-sample,pending,
c-msvc-sal-annotations-001::variant-cff457f4,c-msvc-sal-annotations-001,variant-cff457f4,unanswerable,How do Microsoft SAL annotations _In_reads_ and _Out_writes_ affect MSVC static analysis of a C function?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,No frozen evidence was provided. The candidate answer appropriately abstains without making technical claims.,yes,deterministic-agreement-sample,pending,
c-standard-purpose-001::variant-20c2ee7c,c-standard-purpose-001,variant-20c2ee7c,answerable,What purpose does the C11 N1570 draft state for the C language standard?,0.8750,0.8750,false,false,G4/K2/CC4/CP4/D2,G4/K2/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"The answer’s stated purposes (portability, reliability, maintainability, efficient execution; and promotion of portability among data-processing systems) are directly supported by [S1] and [S2]. However, it omits the expected key fact that the standard specifies the form and establishes the interpretation of C programs ([S1], and also echoed in [S2]).",no,,pending,
cpp-cmake-targets-001::variant-015380ad,cpp-cmake-targets-001,variant-015380ad,unanswerable,How should target_link_libraries and find_package be combined for imported CMake targets?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"No frozen evidence was provided. The candidate answer abstains without making any technical claims, so it is appropriate for an unanswerable task.",yes,deterministic-agreement-sample,pending,
cpp-cmake-targets-001::variant-20c2ee7c,cpp-cmake-targets-001,variant-20c2ee7c,unanswerable,How should target_link_libraries and find_package be combined for imported CMake targets?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"No frozen evidence was provided. The candidate answer abstains without making any technical claims, so it is appropriate for an unanswerable task.",yes,deterministic-agreement-sample,pending,
cpp-cmake-targets-001::variant-cff457f4,cpp-cmake-targets-001,variant-cff457f4,unanswerable,How should target_link_libraries and find_package be combined for imported CMake targets?,1.0000,1.0000,true,true,A1,A1,U0/C0/I0/F0,U0/C0/I0/F0,"No frozen evidence was provided. The candidate answer abstains without making any technical claims, so it is appropriate for an unanswerable task.",yes,deterministic-agreement-sample,pending,
cpp-move-constructor-001::variant-20c2ee7c,cpp-move-constructor-001,variant-20c2ee7c,answerable,What parameter form makes a non-template C++ constructor a move constructor?,1.0000,1.0000,true,true,G4/K4/CC4/CP4/D2,G4/K4/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"The answer states the move-constructor parameter form exactly as in [S1]: first parameter is one of X&&, const X&&, volatile X&&, or const volatile X&&, and either there are no other parameters or all others have default arguments. It also implicitly satisfies the key fact about additional parameters requiring default arguments by citing [S1]. No contradictions or unsupported technical claims.",no,,pending,
cpp-move-constructor-001::variant-cff457f4,cpp-move-constructor-001,variant-cff457f4,answerable,What parameter form makes a non-template C++ constructor a move constructor?,1.0000,1.0000,true,true,G4/K4/CC4/CP4/D2,G4/K4/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,The candidate answer matches the definition in [S1] exactly: move constructor requires first parameter of type X&&/const X&&/volatile X&&/const volatile X&& and no other parameters or all other parameters have default arguments. All expected key facts are covered and supported by [S1].,no,,pending,
java-ods-dual-array-deque-001::variant-015380ad,java-ods-dual-array-deque-001,variant-015380ad,answerable,"What balance invariant does DualArrayDeque maintain, and why does its occasional O(n) rebalancing remain O(1) amortized per update?",1.0000,0.8125,true,false,G4/K4/CC4/CP4/D1,G4/K4/CC3/CP2/D2,U0/C0/I0/F0,U0/C0/I0/F0,"All material technical claims (n/4 balance invariant, floor/ceil sizes after rebalancing, Θ(n) cost, and O(1) amortized via total O(m)) are supported by the frozen evidence. However, the citations are bundled at the end of the paragraph rather than provided inline for each individual material claim, so citation completeness is not perfect.",yes,pass-mismatch,pending,
java-ods-dual-array-deque-001::variant-cff457f4,java-ods-dual-array-deque-001,variant-cff457f4,answerable,"What balance invariant does DualArrayDeque maintain, and why does its occasional O(n) rebalancing remain O(1) amortized per update?",1.0000,1.0000,true,true,G4/K4/CC4/CP4/D2,G4/K4/CC4/CP4/D2,U0/C0/I0/F0,U0/C0/I0/F0,"All key invariants and the amortized-cost argument are supported by the frozen evidence: min(n/4) element invariant and the floor/ceil(n/2) rebalance targets are in [S1], the factor-of-3 equivalence is in [S3], and the O(m) total balance time (hence O(1) amortized) plus the potential-method details and the ≥ n/2 − 1 updates separation are in [S1] and [S2]. Citations correspond correctly to the attached claims.",no,,pending,
java-ods-red-black-tree-001::variant-cff457f4,java-ods-red-black-tree-001,variant-cff457f4,answerable,How does the correspondence with a 2-4 tree establish the height bound for a red-black tree?,1.0000,0.6250,true,false,G4/K4/CC4/CP4/D1,G2/K2/CC2/CP4/D2,U0/C0/I0/F0,U1/C0/I0/F0,"Most statements match the evidence (transformation removing red nodes, resulting 2-4 structure, n+1 leaves / height log(n+1), and the “at most one out of every two internal nodes is red” bound). However, the answer gives an explicit intermediate bound “at most 2log(n+1)-1” for the longest root-to-internal-node path, while the frozen excerpt does not show this algebraic expression (it is truncated right after “is at most”). That intermediate numeric bound is therefore unsupported. Also, it does not explicitly state the expected black-height property giving equal root-to-leaf lengths in the transformed tree (only implying it via the height result).",yes,pass-mismatch,pending,
