row_id,case_id,blind_variant_id,answerability,language,question,phase1_groundedness_0_4,phase1_key_fact_coverage_0_4,phase1_citation_correctness_0_4,phase1_citation_completeness_0_4,phase1_directness_0_2,phase1_correct_abstention_0_1,phase1_critical_unsupported_claim_0_1,phase1_contradicts_evidence_0_1,phase1_invalid_citation_label_0_1,phase1_generator_failure_0_1,final_groundedness_0_4,final_key_fact_coverage_0_4,final_citation_correctness_0_4,final_citation_completeness_0_4,final_directness_0_2,final_correct_abstention_0_1,final_critical_unsupported_claim_0_1,final_contradicts_evidence_0_1,final_invalid_citation_label_0_1,final_generator_failure_0_1,adjudication_decision,adjudication_notes,original_human_scores,judge_scores,judge_rationale,phase1_frozen_at,reviewer_id,exported_at,review_status
swift-sendable-actors-001::variant-015380ad,swift-sendable-actors-001,variant-015380ad,unanswerable,Swift,When must a value conform to Swift Sendable to cross an actor isolation boundary?,,,,,,1,0,0,0,0,,,,,,1,0,0,0,0,confirm-independent,,A1;U0/C0/I0/F0,A1;U0/C0/I0/F0,"No frozen evidence is provided, so the question cannot be answered. The candidate abstains without making any unsupported technical claims.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
cpp-cmake-targets-001::variant-015380ad,cpp-cmake-targets-001,variant-015380ad,unanswerable,C++,How should target_link_libraries and find_package be combined for imported CMake targets?,,,,,,1,0,0,0,0,,,,,,1,0,0,0,0,confirm-independent,,A1;U0/C0/I0/F0,A1;U0/C0/I0/F0,"No frozen evidence was provided. The candidate answer abstains without making any technical claims, so it is appropriate for an unanswerable task.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
java-spec-release-001::variant-20c2ee7c,java-spec-release-001,variant-20c2ee7c,answerable,Java,Which Java release and specification status are identified by the Java Language Specification in this corpus?,4,4,4,4,2,,0,0,0,0,4,4,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,"All requested key facts (Java SE 26, version 26, status Final Release, release date March 2026) are explicitly supported by [S1] (and redundantly by [S2]). The cited [S1]/[S2] labels exist and support the attached claims. Every material factual claim is cited.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
cpp-move-constructor-001::variant-cff457f4,cpp-move-constructor-001,variant-cff457f4,answerable,C++,What parameter form makes a non-template C++ constructor a move constructor?,4,4,4,4,2,,0,0,0,0,4,4,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,The candidate answer matches the definition in [S1] exactly: move constructor requires first parameter of type X&&/const X&&/volatile X&&/const volatile X&& and no other parameters or all other parameters have default arguments. All expected key facts are covered and supported by [S1].,2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
java-ods-red-black-tree-001::variant-cff457f4,java-ods-red-black-tree-001,variant-cff457f4,answerable,Java,How does the correspondence with a 2-4 tree establish the height bound for a red-black tree?,3,3,3,4,2,,0,0,0,0,3,3,3,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D1;U0/C0/I0/F0,G2/K2/CC2/CP4/D2;U1/C0/I0/F0,"Most statements match the evidence (transformation removing red nodes, resulting 2-4 structure, n+1 leaves / height log(n+1), and the “at most one out of every two internal nodes is red” bound). However, the answer gives an explicit intermediate bound “at most 2log(n+1)-1” for the longest root-to-internal-node path, while the frozen excerpt does not show this algebraic expression (it is truncated right after “is at most”). That intermediate numeric bound is therefore unsupported. Also, it does not explicitly state the expected black-height property giving equal root-to-leaf lengths in the transformed tree (only implying it via the height result).",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
react-effects-001::variant-cff457f4,react-effects-001,variant-cff457f4,answerable,React,When is an Effect appropriate instead of deriving a value during rendering?,4,3,4,4,2,,0,0,0,0,4,3,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC3/CP3/D2;U0/C0/I0/F0,G2/K3/CC2/CP4/D2;U0/C0/I0/F0,"Most guidance matches the evidence (effects synchronize with external systems; rendering must be pure; deriving/transforms don’t need Effects; unnecessary Effects add extra render work). However, the answer includes “browser APIs” as an example of external systems for which an Effect is appropriate, but the cited excerpts [S1, S2, S3] do not mention browser APIs (browser APIs are not supported in the provided evidence set). Also, the expected “complexity” aspect is not explicitly covered (only extra render work/pass is).",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
java-ods-dual-array-deque-001::variant-015380ad,java-ods-dual-array-deque-001,variant-015380ad,answerable,Java,"What balance invariant does DualArrayDeque maintain, and why does its occasional O(n) rebalancing remain O(1) amortized per update?",4,4,3,4,2,,0,0,0,0,4,4,3,2,2,,0,0,0,0,revise-judge,,G4/K4/CC4/CP4/D1;U0/C0/I0/F0,G4/K4/CC3/CP2/D2;U0/C0/I0/F0,"All material technical claims (n/4 balance invariant, floor/ceil sizes after rebalancing, Θ(n) cost, and O(1) amortized via total O(m)) are supported by the frozen evidence. However, the citations are bundled at the end of the paragraph rather than provided inline for each individual material claim, so citation completeness is not perfect.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
rust-ownership-move-clone-001::variant-015380ad,rust-ownership-move-clone-001,variant-015380ad,answerable,Rust,What is the difference between moving and cloning a heap-owning Rust value such as String?,2,4,3,4,2,,0,0,0,0,2,4,3,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP3/D1;U0/C0/I0/F0,G2/K3/CC2/CP2/D2;U1/C0/I0/F0,"The answer correctly states that assignment/move of `String` copies only the stack parts and does not copy heap contents ([S3]). However, it also claims that the original binding becomes invalid after the move; that specific “cannot be used after move” effect is not supported in the provided [S3]/[S4] excerpts. Clone as deep-copying heap data and keeping both values usable is supported ([S1], [S2]), and the “no automatic deep copies; clone is an indicator (possibly expensive)” points are supported ([S1], [S2]).",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
c-standard-purpose-001::variant-20c2ee7c,c-standard-purpose-001,variant-20c2ee7c,answerable,C,What purpose does the C11 N1570 draft state for the C language standard?,4,2,4,4,2,,0,0,0,0,4,2,4,4,2,,0,0,0,0,confirm-independent,,G4/K2/CC4/CP4/D2;U0/C0/I0/F0,G4/K2/CC4/CP4/D2;U0/C0/I0/F0,"The answer’s stated purposes (portability, reliability, maintainability, efficient execution; and promotion of portability among data-processing systems) are directly supported by [S1] and [S2]. However, it omits the expected key fact that the standard specifies the form and establishes the interpretation of C programs ([S1], and also echoed in [S2]).",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
python-parameter-kinds-001::variant-015380ad,python-parameter-kinds-001,variant-015380ad,answerable,Python,"How do / and * divide positional-only, positional-or-keyword, and keyword-only parameters in a Python function definition?",4,4,3,3,2,,0,0,0,0,4,4,3,3,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D1;U0/C0/I0/F0,G3/K4/CC2/CP2/D2;U0/C0/I0/F0,"Core rules for `/` (positional-only), `*` (keyword-only), and the behavior when neither is present are supported by the evidence (S1/S4). However, the first sentence’s claim that `/` and `*` are “both optional” is not cited inline. Additionally, the first bullet cites both S1 and S4 while S4 does not explicitly state the “order matters / cannot be passed by keyword” details (those are in S1).",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
kotlin-gradle-plugin-001::variant-015380ad,kotlin-gradle-plugin-001,variant-015380ad,unanswerable,Kotlin,How does the Kotlin Gradle plugin configure jvmToolchain and compilerOptions?,,,,,,1,0,0,0,0,,,,,,1,0,0,0,0,confirm-independent,,A1;U0/C0/I0/F0,A1;U0/C0/I0/F0,"The candidate answer declines to provide a substantive response, which is appropriate because no frozen evidence was provided for the retrieval gate.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
react-state-queue-001::variant-015380ad,react-state-queue-001,variant-015380ad,answerable,React,How should a component increment the same state value three times in one event handler?,4,4,4,4,2,,0,0,0,0,4,4,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,"The answer correctly instructs using the functional updater form setNumber(n => n + 1) three times, and explains React queues updater functions and processes them in order on the next render such that each updater is based on the prior queued result. The contrast with direct value updates (setNumber(number + 1)) is also supported by the provided snapshot/queueing evidence.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
react-state-queue-001::variant-20c2ee7c,react-state-queue-001,variant-20c2ee7c,answerable,React,How should a component increment the same state value three times in one event handler?,4,4,4,4,2,,0,0,0,0,4,4,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D1;U0/C0/I0/F0,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,"All key technical claims (use functional updater, React queues updater functions and processes them during the next render, and updater functions use the previous queued result) are supported by the frozen evidence. All material factual claims have appropriate inline citations and all cited labels exist.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
java-ods-dual-array-deque-001::variant-cff457f4,java-ods-dual-array-deque-001,variant-cff457f4,answerable,Java,"What balance invariant does DualArrayDeque maintain, and why does its occasional O(n) rebalancing remain O(1) amortized per update?",4,4,4,4,2,,0,0,0,0,4,4,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,"All key invariants and the amortized-cost argument are supported by the frozen evidence: min(n/4) element invariant and the floor/ceil(n/2) rebalance targets are in [S1], the factor-of-3 equivalence is in [S3], and the O(m) total balance time (hence O(1) amortized) plus the potential-method details and the ≥ n/2 − 1 updates separation are in [S1] and [S2]. Citations correspond correctly to the attached claims.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
cpp-move-constructor-001::variant-20c2ee7c,cpp-move-constructor-001,variant-20c2ee7c,answerable,C++,What parameter form makes a non-template C++ constructor a move constructor?,4,4,4,4,2,,0,0,0,0,4,4,4,4,2,,0,0,0,0,confirm-independent,,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,G4/K4/CC4/CP4/D2;U0/C0/I0/F0,"The answer states the move-constructor parameter form exactly as in [S1]: first parameter is one of X&&, const X&&, volatile X&&, or const volatile X&&, and either there are no other parameters or all others have default arguments. It also implicitly satisfies the key fact about additional parameters requiring default arguments by citing [S1]. No contradictions or unsupported technical claims.",2026-07-21T11:35:18.905Z,Gabriele,2026-07-21T11:43:36.917Z,adjudicated
